"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"1","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Suzan","Great coverage, great product.","Reviewed in Australia on 17 January 2024","4.4 out of 5 stars","Verified Purchase"
"2","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Tricia","This is the best price for the best concealer I have ever used, I will be buying more!","Reviewed in Australia on 12 December 2023","5.0 out of 5 stars","Verified Purchase"
"3","Maybelline-Instant-Rewind-Circles-Concealer",NA,"V","Lighter than the photo and makes My under eye way too bright.","Reviewed in Australia on 15 February 2021","3.0 out of 5 stars","Verified Purchase"
"4","Maybelline-Instant-Rewind-Circles-Concealer",NA,"jess","Works great!","Reviewed in Australia on 29 June 2019","5.0 out of 5 stars","Verified Purchase"
"5","Maybelline-Instant-Rewind-Circles-Concealer",NA,"nemai","Value for money","Reviewed in Australia on 28 July 2022","5.0 out of 5 stars","Verified Purchase"
"6","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Melanie","Great product but sometimes the foam comes off and will not reattach","Reviewed in Australia on 15 June 2020","1.0 out of 5 stars","Verified Purchase"
"7","Maybelline-Instant-Rewind-Circles-Concealer",NA,"zobi","Great","Reviewed in Australia on 14 July 2020","5.0 out of 5 stars","Verified Purchase"
"8","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Maree Cooper","Love this product","Reviewed in Australia on 28 September 2019","3.0 out of 5 stars","Verified Purchase"
"9","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Amazon Customer","Was excited to use the product, it looks fine from outside but nothing is inside, looks like expired or all dried up inside the tiny bottle, what should I do with it","Reviewed in Australia on 13 July 2020","5.0 out of 5 stars","Verified Purchase"
"10","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Kim Merrick","Amazing","Reviewed in Australia on 16 August 2019","5.0 out of 5 stars","Verified Purchase"
"11","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Suzan","Sits in my fine lines under my eyes, highlights pores.","Reviewed in Australia on 17 January 2024","4.4 out of 5 stars","Verified Purchase"
"12","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Tricia","Doesn’t work. Was all dried out . Waste of money","Reviewed in Australia on 12 December 2023","5.0 out of 5 stars","Verified Purchase"
"13","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Caroline Lake","Got quickly and works great","Reviewed in Australia on 10 December 2021","3.0 out of 5 stars","Verified Purchase"
"14","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Vanshu","Happy with product, price and delivery.","Reviewed in Australia on 6 September 2021","1.0 out of 5 stars","Verified Purchase"
"15","Maybelline-Instant-Rewind-Circles-Concealer",NA,"BringbackUSAAmazon","Just a tip for husbands who buy these as a gift for your wife...one is apparently enough. Three is enough to last 15 years. Just saying...","Reviewed in Australia on 30 October 2018","1.0 out of 5 stars","Verified Purchase"
"16","Maybelline-Instant-Rewind-Circles-Concealer",NA,"ana","My all time favourite concealer.  Great creamy consistency, not too heavy and blends nicely with my foundation.  Nice and convenient to carry in handbag and travel with.","Reviewed in Australia on 31 March 2023","5.0 out of 5 stars","Verified Purchase"
"17","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Ben Slater","Finally a concealer that actually conceals. I'm 52 and have both wrinkles and very dark rings under my eyes. Completely covered the dark rings and softened the wrinkles. Blends nicely so you can't tell you've got concealer on.","Reviewed in Australia on 26 December 2018","5.0 out of 5 stars","Verified Purchase"
"18","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Michelle Pye","This is a repurchase as this product is just what you want, it does what you want without looking cakey","Reviewed in Australia on 20 July 2020","5.0 out of 5 stars","Verified Purchase"
"19","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Susan","Great item excellent price","Reviewed in Australia on 13 July 2021","5.0 out of 5 stars",NA
"20","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Ellice","renewed my makeup","Reviewed in Australia on 2 January 2021","5.0 out of 5 stars",NA
"21","Maybelline-Instant-Rewind-Circles-Concealer","Muy bueno","Suzan","Great colour 👌","Reviewed in Australia on 17 January 2024","4.4 out of 5 stars","Verified Purchase"
"22","Maybelline-Instant-Rewind-Circles-Concealer","Es un producto estrella. Mi mamá lo sigue eligiendo a través de los años.","Tricia","Favourite product","Reviewed in Australia on 12 December 2023","5.0 out of 5 stars","Verified Purchase"
"23","Maybelline-Instant-Rewind-Circles-Concealer","Ottimo prodotto. Prezzo vantaggioso","Tracy green","Love this - makes my eye bags disappear","Reviewed in Australia on 3 March 2022","3.0 out of 5 stars","Verified Purchase"
"24","Maybelline-Instant-Rewind-Circles-Concealer","Per occhiaie","Amtur","Good coverage","Reviewed in Australia on 4 October 2020","5.0 out of 5 stars","Verified Purchase"
"25","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Joanafoe","Blends well and stays true to colour.","Reviewed in Australia on 28 February 2021","5.0 out of 5 stars","Verified Purchase"
"26","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Rima","Glides on and offers a moisture finish…great for dehydrated eyes.","Reviewed in Australia on 31 May 2022","5.0 out of 5 stars","Verified Purchase"
"27","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Glenda W","Mejor corrector","Reviewed in Australia on 23 August 2022","5.0 out of 5 stars","Verified Purchase"
"28","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Mia Mellamocca","Mi mamá dice que es el mejor corrector que ha probado. Su cobertura es excelente, el color es ideal para dar luz sin ser demasiado. Es suave y no marca las líneas de expresión. Lleva años usando y lo sigue eligiendo al paso de los años.","Reviewed in Australia on 7 April 2023","5.0 out of 5 stars","Verified Purchase"
"29","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Amazon Customer","The media could not be loaded.
                
            
                
            
        
    
    
Ho preso questo prodotto perché lo conoscevo già e mi ci trovo molto bene. Il prezzo qui su Amazon era davvero vantaggioso rispetto a quello nei negozi vicino casa. L’unica pecca è stata aspettare un pochino di più rispetto al solito di Amazon per la consegna (ma comunque parliamo di pochissimi giorni), ma ovviamente non è stato assolutamente un problema. Consiglio questo prodotto, si applica direttamente dal tubetto in quanto superiormente ha una sorta di spugnetta da cui esce il prodotto è tramite cui si applica.","Reviewed in Spain on 24 May 2019","5.0 out of 5 stars","Verified Purchase"
"30","Maybelline-Instant-Rewind-Circles-Concealer",NA,"Adriana Pacheco","Facile da usare, ottima copertura per occhiaie tendenti al verdognolo. Ne basta poco e poi distendersi bene. dura dal mattino alla sera","Reviewed in Mexico on 28 January 2024","5.0 out of 5 stars","Verified Purchase"
"31","Maybelline-Instant-Rewind-Circles-Concealer","Buen pooducto","Suzan","Buen producto","Reviewed in Australia on 17 January 2024","4.4 out of 5 stars","Verified Purchase"
"32","Maybelline-Instant-Rewind-Circles-Concealer","Love it","Tricia","Love it","Reviewed in Australia on 12 December 2023","5.0 out of 5 stars","Verified Purchase"
"33","Maybelline-Instant-Rewind-Circles-Concealer","Ok","Susana","Ok","Reviewed in Spain on 25 November 2023","3.0 out of 5 stars","Verified Purchase"
"34","Maybelline-Instant-Rewind-Circles-Concealer","Melhor corretivo que já usei","Lena","Boa cobertura, fácil de espalhar, não craquela nem marca. Sempre recompro!","Reviewed in Japan on 3 August 2020","5.0 out of 5 stars","Verified Purchase"
"35","Maybelline-Instant-Rewind-Circles-Concealer","Good product","Kiki","Bought for my mum, she liked it, moisturising as well as good coverage (I like to use it too when she'll let me 😂)","Reviewed in Germany on 2 March 2020","5.0 out of 5 stars","Verified Purchase"
"36","Maybelline-Instant-Rewind-Circles-Concealer","The best dark circles eraser ever!","Carlos","This is the second time I have bought this item and it's amazing. I works miracles and it's not available in Poland so I always buy it here. If you want to get rid of the tiredness from your eye area, buy it! :)","Reviewed in Brazil on 16 February 2024","5.0 out of 5 stars","Verified Purchase"
"37","Maybelline-Instant-Rewind-Circles-Concealer","Lovely product, fantastic seller.","Lilian Rosina Prince","I LOVE this concealer and it works great on my combination skin.  This shade specifically isn't sold in UK Boots or anywhere drug store make up is sold, so I'm glad that I was able to source it here.  It arrived well packaged and works well. I would recommend this product to anyone.","Reviewed in the United Kingdom on 7 January 2024","5.0 out of 5 stars","Verified Purchase"
"38","Maybelline-Instant-Rewind-Circles-Concealer","Fijn product","Amazon Kunde","Wordt gesealed geleverd wat fijn is want dat is niet met alle make-up dat je online besteld.Vind het een hele fijne concealer, blend natuurlijk in met je huid en dekt voldoende.Vind het een fijn hygiënisch klik draai systeem, zelf haal ik het sponje er altijd af en gebruik het met mijn vinger om plekjes op m'n huid te corrigeren.","Reviewed in Germany on 25 January 2017","5.0 out of 5 stars","Verified Purchase"
"39","Maybelline-Instant-Rewind-Circles-Concealer","Bien","Crafty Traveler","Bien","Reviewed in the United Kingdom on 30 November 2017","5.0 out of 5 stars","Verified Purchase"
"40","Maybelline-Instant-Rewind-Circles-Concealer","Buon prodotto","Femke","Giusta tonalità ma non è così antieta'come da descrizione","Reviewed in the Netherlands on 6 January 2024","5.0 out of 5 stars","Verified Purchase"
"41","Maybelline-Instant-Rewind-Circles-Concealer","Mai più senza","Suzan","Questo correttore è la mia salvezza! Lo uso delle varie colorazioni sia per correggere che per fare il contouring! Facile da usare, resistente, leviga e non si sedimenta nelle rughette!","Reviewed in Australia on 17 January 2024","4.4 out of 5 stars","Verified Purchase"
"42","Maybelline-Instant-Rewind-Circles-Concealer","this is brilliant, immediately helping cover the dark circles and dark ...","Tricia","I was a little reticent to buy this as there were a few negative reviews, however, buy I did. For me, this is brilliant, immediately helping cover the dark circles and dark shading on the inside of the bridge of my nose. I think I just happened to get the right shade of this first time. Recommended, but does nothing to help bags. Great for black circles though.","Reviewed in Australia on 12 December 2023","5.0 out of 5 stars","Verified Purchase"
"43","Maybelline-Instant-Rewind-Circles-Concealer","Smooth","Mara","Easy to use does what it says","Reviewed in Italy on 12 February 2024","3.0 out of 5 stars","Verified Purchase"
"44","Maybelline-Instant-Rewind-Circles-Concealer","Bluffant !!!!","Grandma","J'ai de vilaines cernes marrons qui tirent parfois vers le bleu quand je suis fatiguée, et depuis des années je suis à la recherche d'anti cernes ""miracles"" et celui ci est carrément bluffant!La matière est crémeuse mais pas trop fluide, elle s'étale bien et surtout se travaille bien (au pinceau ou à l'éponge) et la couvrance est bluffante mais il ne faut pas en mettre trop (y aller petit à petit), l'applicateur est pratique mais veillez à le laver délicatement de temps en temsp,  la tenue est plus que correct (pas de retouches dans la journée), la matière sèche bien et ne fait pas de ""paquets"" disgracieux, le prix est plus que correct et l'avantage de l'acheter sur Amazon c'est qu'il y a beaucoup plus de choix de teintes que dans les grandes surfaces, perso j'ai regarder quelques vidéos avant de me décider et je ne suis pas déçue! Donne vraiment un coup d'éclat, le regard est ""reveillé"", peut également servir pour camoufler des imperfections, Je recommande","Reviewed in the United Kingdom on 1 October 2015","5.0 out of 5 stars","Verified Purchase"
"45","Maybelline-Instant-Rewind-Circles-Concealer","Relación calidad precio","Suzyque","Lo compre para disimular las ojeras ( que no tengo muchas)  y dar luz al contorno de ojos y la verdad estoy contenta con la compra. Relación calidad precio muy buena. Lo recomiendo. Si te ha sido de utilidad mi reseña hazlo saber. Gracias","Reviewed in the United Kingdom on 23 October 2019","5.0 out of 5 stars","Verified Purchase"
